generation,N_shifts,logPrior,logLik,eventRate,acceptRate
158570000,7,23.5614,-3820.91,2.72827,0.25
158580000,7,26.8629,-3819.51,4.66803,0.209167
158590000,9,33.0221,-3803.7,10.2426,0.239
158600000,9,39.6557,-3808.37,2.75877,0.1988
158610000,8,31.6861,-3812.01,5.05139,0.218
158620000,10,43.3513,-3794.88,4.54456,0.175
158630000,13,60.6547,-3795.42,3.78489,0.244
158640000,9,40.295,-3825.68,2.24077,0.2115
158650000,12,52.4419,-3790.81,6.44855,0.287
158660000,11,51.9906,-3787.78,4.51482,0.238
158670000,10,48.7174,-3793.2,3.01862,0.238
158680000,14,62.747,-3781.77,6.18402,0.281
158690000,12,53.3304,-3799.66,6.84218,0.258
158700000,11,46.2605,-3790.21,4.29476,0.259
158710000,8,31.5014,-3815.86,3.41655,0.206
158720000,11,43.3365,-3787.77,5.77275,0.2394
158730000,8,34.0822,-3813.66,3.03082,0.257
158740000,12,49.057,-3789.2,6.50107,0.279
158750000,12,44.9222,-3786.83,9.89949,0.22
158760000,11,34.6619,-3795.4,6.12971,0.197
158770000,11,45.9766,-3795.39,3.54832,0.272333
158780000,7,23.4524,-3824.15,3.82412,0.233
158790000,12,46.1343,-3799.88,9.27896,0.223
158800000,7,28.9189,-3830.75,3.47527,0.242529
158810000,9,34.6554,-3821.56,3.02266,0.283
158820000,6,22.6723,-3822.71,1.57047,0.186
158830000,10,38.4523,-3806.58,4.95384,0.2305
158840000,6,21.1332,-3830.23,4.17514,0.18
158850000,8,29.952,-3813.97,5.0617,0.193
158860000,7,27.2443,-3823.33,1.99032,0.236
158870000,7,20.6978,-3822.11,5.85974,0.197
158880000,10,41.1851,-3801.3,7.79961,0.1872
158890000,10,42.0847,-3804.37,4.4897,0.225
158900000,6,26.9877,-3836.71,3.15862,0.247
158910000,7,25.2251,-3828.99,3.67026,0.259
158920000,9,35.6745,-3798.55,3.52998,0.177
158930000,10,41.8867,-3798.14,2.95222,0.21
158940000,11,42.705,-3812.23,4.83298,0.274
158950000,5,24.3895,-3846.79,2.65847,0.225
158960000,11,47.7084,-3792.58,4.87674,0.264
158970000,7,24.1084,-3816.47,5.16389,0.202
158980000,7,30.0705,-3810.53,1.4244,0.224667
158990000,11,43.9695,-3785.78,5.76206,0.193
159000000,11,36.7261,-3794.29,6.86618,0.253
159010000,11,43.2076,-3788.45,5.2841,0.226
159020000,8,36.112,-3803.14,3.36563,0.2326
159030000,10,42.3757,-3807.23,6.01427,0.241545
159040000,10,45.6738,-3807.02,3.38036,0.223714
159050000,7,26.2728,-3814.07,6.71474,0.215
159060000,9,34.8462,-3827.1,6.60452,0.2545
159070000,10,41.0727,-3801.22,4.65699,0.171
159080000,7,31.3863,-3825.17,1.82298,0.218333
159090000,7,21.3795,-3822.71,5.92226,0.234308
159100000,10,44.3741,-3802.78,3.8386,0.217
159110000,10,40.71,-3806.71,5.52691,0.223
159120000,9,37.9817,-3813.02,5.37982,0.244
159130000,9,39.3628,-3819.73,2.57493,0.212
159140000,12,48.1197,-3788.94,7.46184,0.208
159150000,8,32.0237,-3811.71,4.79982,0.220778
159160000,12,51.4207,-3788.35,4.14271,0.191
159170000,11,50.6956,-3800.21,6.06054,0.205
159180000,9,38.3204,-3798.01,5.42989,0.223375
159190000,9,39.1186,-3798.97,4.82283,0.207333
159200000,10,41.8605,-3828.43,1.7821,0.265
159210000,9,30.0142,-3799.66,4.13882,0.2072
159220000,7,33.8602,-3820.88,2.50844,0.271643
159230000,13,50.3209,-3786.89,8.68396,0.233
159240000,7,29.1721,-3838.93,4.57496,0.238
159250000,10,33.3548,-3813.92,7.2797,0.262
159260000,9,29.922,-3816.79,5.63367,0.257
159270000,7,33.0631,-3830,2.88132,0.297
159280000,9,25.525,-3809.48,5.66631,0.22
159290000,8,33.7482,-3801.97,3.73232,0.139
159300000,10,30.8773,-3818.25,8.64835,0.234
159310000,6,25.8432,-3830.01,2.53963,0.235
159320000,7,31.0862,-3813.14,1.93163,0.216
159330000,11,52.2978,-3798.44,3.92784,0.236
159340000,8,27.5514,-3817.01,6.18396,0.239
159350000,11,50.5683,-3787.76,5.33011,0.224
159360000,10,46.4566,-3803.06,3.05505,0.252143
159370000,9,38.8726,-3803.6,5.09469,0.252
159380000,11,48.6677,-3808.15,5.94509,0.246
159390000,8,29.7471,-3818.16,9.04735,0.249
159400000,10,34.9252,-3805.15,2.65454,0.238417
159410000,9,35.0512,-3818.98,4.9275,0.247
159420000,10,38.075,-3815.76,6.84745,0.282
159430000,10,42.4259,-3804.46,5.63637,0.217
159440000,11,48.3326,-3813.42,5.39252,0.265
159450000,10,39.2248,-3799,8.30857,0.275
159460000,9,37.3658,-3801.78,3.90161,0.199
159470000,7,25.0251,-3820.98,2.86372,0.249
159480000,9,39.1669,-3803.03,3.03854,0.168
159490000,15,74.0558,-3790.88,6.95149,0.262
159500000,13,63.0741,-3787.87,5.60643,0.261
159510000,11,53.8566,-3796.88,5.24005,0.277
159520000,9,38.0641,-3817.46,4.26885,0.281
159530000,7,31.8686,-3826.41,2.98978,0.27
159540000,8,37.516,-3804.62,3.34163,0.2
159550000,10,40.4095,-3814.81,5.94388,0.215
159560000,11,50.691,-3791.93,6.84104,0.227
159570000,12,51.4255,-3788.03,6.97145,0.263167
159580000,13,60.245,-3796.52,5.57774,0.323
159590000,7,28.6248,-3823.73,4.36188,0.2685
159600000,7,29.3398,-3823.28,1.24388,0.227
159610000,5,19.4137,-3837.38,3.31595,0.239333
159620000,8,34.3131,-3820.95,3.1196,0.285667
159630000,12,53.456,-3780.77,6.36918,0.252
159640000,11,42.7076,-3812.8,8.36098,0.275
159650000,7,24.5826,-3827.49,7.1211,0.225
159660000,9,40.7195,-3801.64,5.52925,0.259
159670000,6,23.5802,-3826.28,3.64854,0.284
159680000,8,31.1246,-3804.03,4.62113,0.176
159690000,12,51.3139,-3794.48,8.05619,0.25
159700000,7,33.869,-3827.79,3.5215,0.287
159710000,9,36.5206,-3803.5,5.13206,0.22
159720000,8,33.9735,-3805.22,2.51034,0.203
159730000,9,38.1062,-3807.92,4.85372,0.283
159740000,10,36.2736,-3802.41,9.02913,0.204
159750000,6,23.5488,-3825.3,4.94888,0.225
159760000,14,69.5054,-3788.47,4.11727,0.277
159770000,10,42.1178,-3806.44,2.39333,0.22825
159780000,11,47.1206,-3804.37,7.81931,0.28
159790000,9,31.4849,-3796.82,7.67711,0.199
159800000,11,46.3092,-3793.44,4.67131,0.26
159810000,10,43.802,-3797.34,4.36825,0.2369
159820000,8,31.9204,-3799.99,3.6688,0.17
159830000,12,43.4842,-3807.18,8.2737,0.282077
159840000,8,30.4637,-3797.05,5.6681,0.144
159850000,8,32.8984,-3818.95,3.30313,0.257588
159860000,9,41.462,-3817.92,4.78999,0.261
159870000,9,40.6989,-3808.19,3.89765,0.252
159880000,7,26.2013,-3819.56,2.30042,0.241118
159890000,9,33.8824,-3809.93,4.29475,0.19475
159900000,6,27.4365,-3825.19,2.25,0.214
159910000,9,32.4373,-3805.69,6.21617,0.178333
159920000,7,28.743,-3819.7,4.39702,0.182
159930000,10,33.0424,-3810.71,12.2389,0.212
159940000,10,41.4016,-3796.88,3.68662,0.215
159950000,5,20.3953,-3836.28,3.23739,0.238
159960000,5,17.3273,-3833.19,3.98068,0.204
159970000,10,37.5142,-3791.06,7.80258,0.212667
159980000,10,37.0531,-3793.02,4.49141,0.21125
159990000,7,30.9062,-3827.3,4.42644,0.235714
160000000,5,19.2135,-3835.01,3.20988,0.257742
160010000,8,35.5574,-3819.93,3.47071,0.216
160020000,6,15.4569,-3836.99,2.99453,0.227
160030000,8,28.1651,-3801.78,5.26858,0.1845
160040000,8,35.4724,-3823.52,2.49891,0.24975
160050000,10,40.0169,-3819.72,5.05901,0.230714
160060000,8,30.9538,-3826.87,4.77149,0.228
160070000,8,34.3042,-3817.24,7.43673,0.232
160080000,7,28.7587,-3821.53,2.71684,0.2143
160090000,8,38.312,-3830.76,2.73415,0.252364
160100000,12,44.1744,-3778.15,5.54632,0.213
160110000,11,37.0815,-3789.48,6.68941,0.17
160120000,7,26.2765,-3826.93,5.91471,0.275833
160130000,6,22.0206,-3834.82,4.38688,0.251
160140000,8,35.5762,-3816.42,2.33277,0.249
160150000,11,39.4412,-3825.11,9.8469,0.240538
160160000,10,33.5724,-3795.48,4.75635,0.2054
160170000,9,36.7951,-3830.27,4.71408,0.27
160180000,10,41.2618,-3815.38,7.40082,0.252
160190000,9,38.5471,-3821.64,4.28998,0.239
160200000,12,42.2583,-3797.3,6.6047,0.240833
160210000,6,26.2071,-3830.32,2.23336,0.23
160220000,11,39.2442,-3793.5,6.97414,0.218067
160230000,13,52.1912,-3792.84,9.05751,0.254
160240000,12,47.2085,-3787.52,8.52631,0.231
160250000,5,22.4787,-3833.92,1.86395,0.245606
160260000,5,24.3958,-3832.58,1.43406,0.234
160270000,9,35.2477,-3815.77,5.63881,0.246
160280000,11,47.6557,-3803.47,4.63489,0.229
160290000,9,36.8072,-3813.54,4.35085,0.26525
160300000,9,35.1437,-3815,6.82796,0.243
160310000,13,55.4969,-3795.38,6.64339,0.231455
160320000,11,48.433,-3804.72,3.08428,0.254
160330000,7,35.7021,-3828.3,3.90768,0.267
160340000,11,45.4334,-3799.2,4.75905,0.25
160350000,13,51.2549,-3803.18,9.16797,0.28
160360000,11,49.3234,-3799.13,2.8872,0.234
160370000,7,26.374,-3824.35,3.08214,0.202667
160380000,9,36.1715,-3795.04,3.99898,0.1938
160390000,8,28.9676,-3795.81,4.32837,0.151
