0.8395	
Rhaconotus_fasciatus_USNMENT01322492	BRAC	0.00772
Rhygoplitis_sp1_USNMENT01322480	BRAC	0.00772
Rhysipolis_sp1_USNMENT01322603	BRAC	0.00772
Triraphis_sp2_USNMENT01322611	BRAC	0.00772
Schizoprymnus_sp2_USNMENT01322549	BRAC	0.00772
Sigalphus_sp1_USNMENT01322498	BRAC	0.00772
Snellenius_sp1_USNMENT01322589	BRAC	0.00772
Spathius_laflammei_USNMENT01322434	BRAC	0.00772
Stantonia_sp30_USNMENT01322481	BRAC	0.00772
Stiropius_sp_USNMENT01322624	BRAC	0.00772
Syntretus_sp1_USNMENT01322572	BRAC	0.00772
Toxoneuron_viator_USNMENT01322468	BRAC	0.00772
Symphya_n_sp2_USNMENT01322254	BRAC	0.00772
Triaspis_sp1_USNMENT01322475	BRAC	0.00772
Trioxys_sp1_USNMENT01322622	BRAC	0.00772
Trioxys_sp2_USNMENT01322623	BRAC	0.00772
Triraphis_discoideus_USNMENT01322496	BRAC	0.00772
Mirax_sp1_USNMENT01322590	BRAC	0.00772
Urosigalphus_sp2_USNMENT01322614	BRAC	0.00772
Utetes_sp1_USNMENT01322452	BRAC	0.00772
Vadumasonium_sp1_USNMENT01322618	BRAC	0.00772
Vipio_sp1_USNMENT01322501	BRAC	0.00772
Wroughtonia_sp1_USNMENT01322502	BRAC	0.00772
Yelicones_delicatus_USNMENT01322497	BRAC	0.00772
Apterogyna_sp_EX572	BRAD	0.00813
Hartigia_trimaculata_USNMENT01339622	CEPH	0.0125
Janus_integer_USNMENT01339623	CEPH	0.0125
Aphanogmus_bicolor_PSUC_FEM13632	CERA	0.03289
Aphanogmus_fumipennis_PSUC_FEM17533	CERA	0.03289
Aphanogmus_steinitzi_PSUC_FEM17568	CERA	0.03289
Ceraphron_masneri_PSUC_FEM17531	CERA	0.03289
Ceraphron_sp_PSUC_FEM17529	CERA	0.03289
Ceraphron_sp1_PA_PSUC_FEM10045052	CERA	0.03289
Ceraphron_sp2_PA_PSUC_FEM10045062	CERA	0.03289
Homaloceraphron_macrophthalmus_PSUC_FEM17848	CERA	0.03289
Masner_lubomirus_PSUC_FEM13496	CERA	0.03289
Trassedia_n_sp_PSUC_FEM95969	CERA	0.03289
Blastophaga_psenes_JRAS02767_0189	CHAL	0.00645
Courtella_hladikae_JRAS01934_0189	CHAL	0.00645
Pleistodontes_sp1_JRAS00997_0189	CHAL	0.00645
Tetrapus_sp1_JRAS06126_0189	CHAL	0.00645
Aphelinus_sp1_USNMENT01231209	CHAL	0.00645
Centrodora_sp1_USNMENT01231207	CHAL	0.00645
Coccobius_sp1_USNMENT01231205	CHAL	0.00645
Coccophagus_sp1_USNMENT01231210	CHAL	0.00645
Encarsia_sp1_USNMENT01231206	CHAL	0.00645
Eretmocerus_eremicus_JSTR00476_0189	CHAL	0.00645
Ablerus_sp1_USNMENT01231208	CHAL	0.00645
Acanthochalcis_nigricans_USNMENT01322190	CHAL	0.00645
Brachymeria_sp_USNMENT01322177	CHAL	0.00645
Chalcis_barbara_USNMENT01322189	CHAL	0.00645
Dirhinus_sp_USNMENT01322191	CHAL	0.00645
Epitranus_sp_USNMENT01322192	CHAL	0.00645
Haltichella_sp_USNMENT01322193	CHAL	0.00645
Notaspidium_sp_USNMENT01322202	CHAL	0.00645
Phasgonophora_sulcata_USNMENT01322180	CHAL	0.00645
Psilochalcis_brevialata_USNMENT01322195	CHAL	0.00645
Acerophagus_sp1_USNMENT01231200	CHAL	0.00645
Anagyrus_sp1_USNMENT01231185	CHAL	0.00645
Hexacladia_sp1_USNMENT01231129	CHAL	0.00645
